Population,Value
"Afghanistan","30.0",
"Albania","48.1",
"Algeria","55.6",
"Angola","41.0",
"Argentina","73.0",
"Armenia","43.3",
"Australia","147.5",
"Austria","71.1",
"Azerbaijan","32.7",
"Bahamas","85.8",
"Bahrain","44.1",
"Bangladesh","17.0",
"Barbados","129.3",
"Belarus","50.4",
"Belgium","113.2",
"Belize","55.9",
"Benin","55.7",
"Bhutan","19.4",
"Bolivia (Plurinational State of)","38.5",
"Bosnia Herzegovina","45.4",
"Botswana","31.6",
"Brazil","74.0",
"Brunei","56.8",
"Bulgaria","59.1",
"Burkina Faso","45.1",
"Burundi","57.4",
"Cabo Verde","51.4",
"Cambodia","21.8",
"Cameroon","41.6",
"Canada","83.8",
"Central African Republic","34.0",
"Chad","36.9",
"Chile","51.2",
"China","36.1",
"Colombia","49.8",
"Comoros","50.9",
"Congo, Democratic Republic of","35.1",
"Congo, Republic of","40.7",
"Costa Rica","57.7",
"Croatia","68.7",
"Cuba","48.6",
"Cyprus","81.7",
"Czech Republic","88.0",
"Côte d'Ivoire","43.7",
"Denmark","88.8",
"Djibouti","41.2",
"Dominican Republic","60.1",
"Ecuador","38.8",
"Egypt","52.4",
"El Salvador","43.0",
"Equatorial Guinea","35.9",
"Eritrea","41.3",
"Estonia","109.9",
"Ethiopia","41.2",
"Fiji","63.4",
"Finland","89.5",
"France","99.1",
"France, Guadeloupe","189.1",
"France, La Réunion","63.7",
"France, Martinique","158.4",
"France, New Caledonia","98.0",
"French Guyana","92.3",
"French Polynesia","73.7",
"Gabon","31.0",
"Gaza Strip and West Bank","56.6",
"Georgia","34.0",
"Germany","85.4",
"Ghana","43.0",
"Greece","69.3",
"Guam","42.3",
"Guatemala","39.9",
"Guinea","45.5",
"Guinea-Bissau","32.7",
"Guyana","44.9",
"Haiti","55.4",
"Honduras","31.1",
"Hungary","85.5",
"Iceland","85.2",
"India","24.7",
"Indonesia","42.1",
"Iran, Islamic Republic of","31.0",
"Iraq","38.4",
"Ireland","132.5",
"Israel","78.5",
"Italy","92.8",
"Jamaica","71.9",
"Japan","57.6",
"Jordan","57.4",
"Kazakhstan","37.2",
"Kenya","40.3",
"Korea, Democratic Republic of","36.2",
"Korea, Republic of","60.7",
"Kuwait","53.4",
"Kyrgyzstan","23.7",
"Lao People's Democratic Republic","32.7",
"Latvia","80.3",
"Lebanon","97.6",
"Lesotho","52.1",
"Liberia","39.1",
"Libya","23.2",
"Lithuania","70.2",
"Luxembourg","109.3",
"Madagascar","51.6",
"Malawi","72.9",
"Malaysia","47.5",
"Maldives","41.2",
"Mali","43.9",
"Malta","87.6",
"Mauritania","32.9",
"Mauritius","69.6",
"Mexico","41.6",
"Mongolia","93.7",
"Montenegro","87.8",
"Morocco","51.0",
"Mozambique","42.8",
"Myanmar","21.5",
"Namibia","37.3",
"Nepal","21.5",
"New Zealand","138.4",
"Nicaragua","45.4",
"Niger","24.9",
"Nigeria","41.7",
"Norway","106.5",
"Oman","34.7",
"Pakistan","43.9",
"Panama","60.7",
"Papua New Guinea","45.8",
"Paraguay","51.2",
"Peru","47.8",
"Philippines","52.4",
"Poland","59.1",
"Portugal","70.7",
"Puerto Rico","101.7",
"Qatar","42.1",
"Republic of Moldova","48.2",
"Romania","51.6",
"Russian Federation","53.6",
"Rwanda","31.9",
"Saint Lucia","71.4",
"Samoa","80.1",
"Sao Tome and Principe","34.0",
"Saudi Arabia","27.3",
"Senegal","37.8",
"Serbia","75.3",
"Sierra Leone","43.6",
"Singapore","64.1",
"Slovakia","59.4",
"Slovenia","79.3",
"Solomon Islands","45.6",
"Somalia","41.3",
"South Africa","68.0",
"South Sudan","33.4",
"Spain","75.4",
"Sri Lanka","22.2",
"Sudan","39.2",
"Suriname","69.3",
"Swaziland","75.3",
"Sweden","103.0",
"Switzerland","88.1",
"Syrian Arab Republic","67.3",
"Tajikistan","15.7",
"Tanzania","59.1",
"Thailand","35.7",
"The Gambia","29.0",
"The Netherlands","105.9",
"The former Yugoslav Republic of Macedonia","61.5",
"Timor-Leste","24.9",
"Togo","29.0",
"Trinidad and Tobago","68.1",
"Tunisia","32.2",
"Turkey","45.6",
"Turkmenistan","27.1",
"Uganda","54.8",
"Ukraine","44.6",
"United Arab Emirates","52.9",
"United Kingdom","93.6",
"United States of America","84.9",
"Uruguay","65.2",
"Uzbekistan","22.6",
"Vanuatu","29.5",
"Venezuela, Bolivarian Republic of","53.2",
"Viet Nam","26.4",
"Yemen","24.9",
"Zambia","66.4",
"Zimbabwe","62.3",
